==============================================================================
GBMLGG — TRUST-Surv vs baselines. C-index/IBS (higher C / lower IBS = better).
Feature-matched (UNI2h + BulkRNABert pooled). TRUST-Surv* = ours. MOTCat=complete-only ref.
==============================================================================

--- 0% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.742/0.160 | 0.804/0.131 | 0.810/0.144
  mean-imp      | 0.778/0.149 | 0.796/0.127 | 0.810/0.144
  KNN-imp       | 0.805/0.140 | 0.801/0.148 | 0.810/0.144
  Flex-MoE      | 0.739/0.183 | 0.778/0.175 | 0.798/0.163
  MUSE          | 0.778/0.169 | 0.818/0.131 | 0.814/0.150
  MOTCat        |    -   /  -   |    -   /  -   | 0.809/0.133
  HEALNet       | 0.775/0.162 | 0.798/0.186 | 0.811/0.151
  ShaSpec       | 0.740/0.182 | 0.796/0.143 | 0.797/0.159
  TRUST-Surv*    | 0.817/0.117 | 0.823/0.117 | 0.823/0.129

--- 60% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.791/0.140 | 0.809/0.130 | 0.816/0.131
  mean-imp      | 0.782/0.144 | 0.791/0.136 | 0.813/0.138
  KNN-imp       | 0.802/0.134 | 0.806/0.134 | 0.806/0.138
  Flex-MoE      | 0.763/0.172 | 0.779/0.169 | 0.803/0.157
  MUSE          | 0.787/0.155 | 0.792/0.147 | 0.814/0.132
  HEALNet       | 0.781/0.162 | 0.789/0.161 | 0.816/0.147
  ShaSpec       | 0.774/0.164 | 0.788/0.155 | 0.803/0.148
  TRUST-Surv*    | 0.814/0.118 | 0.823/0.117 | 0.817/0.133
