==============================================================================
KIRC — TRUST-Surv vs baselines. C-index/IBS (higher C / lower IBS = better).
Feature-matched (UNI2h + BulkRNABert pooled). TRUST-Surv* = ours. MOTCat=complete-only ref.
==============================================================================

--- 0% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.715/0.153 | 0.617/0.146 | 0.729/0.158
  mean-imp      | 0.694/0.165 | 0.691/0.137 | 0.729/0.158
  KNN-imp       | 0.715/0.162 | 0.660/0.158 | 0.729/0.158
  Flex-MoE      | 0.713/0.162 | 0.688/0.152 | 0.723/0.166
  MUSE          | 0.682/0.181 | 0.690/0.149 | 0.726/0.160
  MOTCat        |    -   /  -   |    -   /  -   | 0.724/0.141
  HEALNet       | 0.675/0.160 | 0.657/0.162 | 0.701/0.143
  ShaSpec       | 0.692/0.167 | 0.683/0.150 | 0.735/0.166
  TRUST-Surv*    | 0.751/0.121 | 0.705/0.135 | 0.764/0.128

--- 60% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.709/0.148 | 0.663/0.141 | 0.734/0.145
  mean-imp      | 0.706/0.155 | 0.673/0.147 | 0.736/0.149
  KNN-imp       | 0.705/0.155 | 0.654/0.162 | 0.717/0.156
  Flex-MoE      | 0.693/0.169 | 0.638/0.181 | 0.723/0.161
  MUSE          | 0.684/0.159 | 0.646/0.168 | 0.713/0.149
  HEALNet       | 0.668/0.158 | 0.657/0.155 | 0.705/0.148
  ShaSpec       | 0.689/0.167 | 0.620/0.173 | 0.710/0.158
  TRUST-Surv*    | 0.738/0.122 | 0.706/0.135 | 0.759/0.132
