==============================================================================
LUAD — TRUST-Surv vs baselines. C-index/IBS (higher C / lower IBS = better).
Feature-matched (UNI2h + BulkRNABert pooled). TRUST-Surv* = ours. MOTCat=complete-only ref.
==============================================================================

--- 0% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.552/0.224 | 0.547/0.207 | 0.566/0.229
  mean-imp      | 0.554/0.231 | 0.561/0.206 | 0.566/0.229
  KNN-imp       | 0.544/0.240 | 0.566/0.214 | 0.566/0.229
  Flex-MoE      | 0.565/0.228 | 0.575/0.215 | 0.576/0.242
  MUSE          | 0.554/0.228 | 0.566/0.183 | 0.562/0.209
  MOTCat        |    -   /  -   |    -   /  -   | 0.559/0.169
  HEALNet       | 0.568/0.203 | 0.517/0.191 | 0.553/0.194
  ShaSpec       | 0.561/0.234 | 0.581/0.215 | 0.581/0.237
  TRUST-Surv*    | 0.574/0.164 | 0.560/0.170 | 0.591/0.161

--- 60% MISSING ---
  METHOD        | P (C/IBS)     | G (C/IBS)     | C (C/IBS)    
  zero-fill     | 0.554/0.215 | 0.542/0.187 | 0.567/0.208
  mean-imp      | 0.562/0.216 | 0.545/0.200 | 0.570/0.211
  KNN-imp       | 0.559/0.217 | 0.545/0.213 | 0.569/0.213
  Flex-MoE      | 0.544/0.230 | 0.537/0.226 | 0.566/0.217
  MUSE          | 0.548/0.223 | 0.525/0.219 | 0.554/0.215
  HEALNet       | 0.555/0.201 | 0.544/0.186 | 0.553/0.193
  ShaSpec       | 0.553/0.223 | 0.548/0.227 | 0.566/0.217
  TRUST-Surv*    | 0.558/0.165 | 0.560/0.170 | 0.571/0.161
