cohort,alpha,scenario,naive,conformal,width
KIRC,0.20,both,0.7666,0.8440,9.6525
KIRC,0.20,genes_missing,0.7633,0.7844,12.3155
KIRC,0.20,image_missing,0.7776,0.8152,12.4799
KIRC,0.10,both,0.8988,0.9577,8.3637
KIRC,0.10,genes_missing,0.8049,0.9069,11.9078
KIRC,0.10,image_missing,0.8567,0.8936,20.6266
KIRC,0.05,both,0.9499,0.9725,3.3731
KIRC,0.05,genes_missing,0.9299,0.9550,5.0301
KIRC,0.05,image_missing,0.8846,0.9128,8.0613
GBMLGG,0.20,both,0.6778,0.7271,579.6000
GBMLGG,0.20,genes_missing,0.7016,0.7129,56.2000
GBMLGG,0.20,image_missing,0.6011,0.8565,697.8000
GBMLGG,0.10,both,0.7865,0.9121,375.0000
GBMLGG,0.10,genes_missing,0.8581,0.8732,67.2000
GBMLGG,0.10,image_missing,0.8505,0.9282,375.0000
GBMLGG,0.05,both,0.8667,0.9272,445.2000
GBMLGG,0.05,genes_missing,0.9500,0.9524,285.8000
GBMLGG,0.05,image_missing,0.9979,0.9843,404.4000
LUAD,0.20,both,0.7226,0.8664,7.6733
LUAD,0.20,genes_missing,0.7130,0.8083,6.5555
LUAD,0.20,image_missing,0.7123,0.8420,9.4026
LUAD,0.10,both,0.8955,0.9638,5.1484
LUAD,0.10,genes_missing,0.8581,0.9306,7.8180
LUAD,0.10,image_missing,0.8590,0.9539,9.4750
LUAD,0.05,both,0.9306,0.9700,2.5907
LUAD,0.05,genes_missing,0.9322,0.9597,2.8274
LUAD,0.05,image_missing,0.9497,0.9606,4.4843
UCEC,0.20,both,0.7428,1.0969,40.7141
UCEC,0.20,genes_missing,0.7433,1.0582,71.9137
UCEC,0.20,image_missing,0.5395,1.0372,71.7625
UCEC,0.10,both,0.8803,0.9970,15.5439
UCEC,0.10,genes_missing,0.9273,0.9677,30.2660
UCEC,0.10,image_missing,0.8027,0.9851,51.2082
UCEC,0.05,both,0.9715,0.9597,4.1884
UCEC,0.05,genes_missing,0.9748,0.9729,12.0459
UCEC,0.05,image_missing,0.8817,0.9845,14.9193
BRCA,0.20,both,0.8545,0.9493,24.6178
BRCA,0.20,genes_missing,0.8157,0.9331,23.1647
BRCA,0.20,image_missing,0.7628,0.9439,37.6894
BRCA,0.10,both,0.9457,0.9678,28.6682
BRCA,0.10,genes_missing,0.9316,0.9964,29.6413
BRCA,0.10,image_missing,0.9371,0.9851,31.4561
BRCA,0.05,both,0.9372,0.9887,20.8436
BRCA,0.05,genes_missing,0.9590,1.0082,21.9154
BRCA,0.05,image_missing,0.9678,1.0124,26.6298
